State,County,Year,Total population,Male Total population,Female Total population
Alabama,Autauga County,2009,49584,24057,25527
Alabama,Baldwin County,2009,171997,84263,87734
Alabama,Barbour County,2009,29663,15687,13976
Alabama,Bibb County,2009,21464,11164,10300
Alabama,Blount County,2009,56804,28216,28588
Alabama,Bullock County,2009,10917,6165,4752
Alabama,Butler County,2009,20189,9517,10672
Alabama,Calhoun County,2009,112969,53981,58988
Alabama,Chambers County,2009,34704,16425,18279
Alabama,Cherokee County,2009,24427,11996,12431
Alabama,Chilton County,2009,42272,20933,21339
Alabama,Choctaw County,2009,14229,6690,7539
Alabama,Clarke County,2009,26438,12583,13855
Alabama,Clay County,2009,13769,6704,7065
Alabama,Cleburne County,2009,14579,7320,7259
Alabama,Coffee County,2009,46802,22707,24095
Alabama,Colbert County,2009,54546,26111,28435
Alabama,Conecuh County,2009,13114,6432,6682
Alabama,Coosa County,2009,10777,5467,5310
Alabama,Covington County,2009,36688,17730,18958
Alabama,Crenshaw County,2009,13687,6518,7169
Alabama,Cullman County,2009,80630,39882,40748
Alabama,Dale County,2009,48233,23797,24436
Alabama,Dallas County,2009,42748,19546,23202
Alabama,DeKalb County,2009,68183,33582,34601
Alabama,Elmore County,2009,76714,38793,37921
Alabama,Escambia County,2009,37561,19087,18474
Alabama,Etowah County,2009,103150,49448,53702
Alabama,Fayette County,2009,17651,8490,9161
Alabama,Franklin County,2009,30847,15364,15483
Alabama,Geneva County,2009,25800,12531,13269
Alabama,Greene County,2009,9112,4361,4751
Alabama,Hale County,2009,17994,9093,8901
Alabama,Henry County,2009,16580,8110,8470
Alabama,Houston County,2009,97091,46220,50871
Alabama,Jackson County,2009,52898,25754,27144
Alabama,Jefferson County,2009,662212,313595,348617
Alabama,Lamar County,2009,14438,7061,7377
Alabama,Lauderdale County,2009,88550,42113,46437
Alabama,Lawrence County,2009,34094,16797,17297
Alabama,Lee County,2009,130669,64714,65955
Alabama,Limestone County,2009,74076,37422,36654
Alabama,Lowndes County,2009,12632,5862,6770
Alabama,Macon County,2009,22304,10248,12056
Alabama,Madison County,2009,314047,153350,160697
Alabama,Marengo County,2009,21210,10018,11192
Alabama,Marion County,2009,29415,14523,14892
Alabama,Marshall County,2009,87925,43166,44759
Alabama,Mobile County,2009,405331,193903,211428
Alabama,Monroe County,2009,22790,11041,11749
Alabama,Montgomery County,2009,224369,106825,117544
Alabama,Morgan County,2009,115197,56523,58674
Alabama,Perry County,2009,10689,4921,5768
Alabama,Pickens County,2009,19528,9185,10343
Alabama,Pike County,2009,30136,14298,15838
Alabama,Randolph County,2009,22504,11036,11468
Alabama,Russell County,2009,50029,23726,26303
Alabama,St. Clair County,2009,77585,38949,38636
Alabama,Shelby County,2009,182996,89888,93108
Alabama,Sumter County,2009,13267,6018,7249
Alabama,Talladega County,2009,80190,39214,40976
Alabama,Tallapoosa County,2009,40778,19568,21210
Alabama,Tuscaloosa County,2009,178754,86117,92637
Alabama,Walker County,2009,68880,33260,35620
Alabama,Washington County,2009,17212,8498,8714
Alabama,Wilcox County,2009,12552,5789,6763
Alabama,Winston County,2009,24190,11921,12269
Alaska,Aleutians East Borough,2009,2959,1965,994
Alaska,Aleutians West Census Area,2009,5505,4124,1381
Alaska,Anchorage Municipality,2009,280389,143053,137336
Alaska,Bethel Census Area,2009,17151,9012,8139
Alaska,Bristol Bay Borough,2009,682,328,354
Alaska,Denali Borough,2009,1529,884,645
Alaska,Dillingham Census Area,2009,4946,2565,2381
Alaska,Fairbanks North Star Borough,2009,96843,51682,45161
Alaska,Haines Borough,2009,2424,1236,1188
Alaska,Hoonah-Angoon Census Area,2009,2042,1067,975
Alaska,Juneau City and Borough,2009,30777,15605,15172
Alaska,Kenai Peninsula Borough,2009,53052,27632,25420
Alaska,Ketchikan Gateway Borough,2009,13132,6537,6595
Alaska,Kodiak Island Borough,2009,13147,7075,6072
Alaska,Lake and Peninsula Borough,2009,1399,649,750
Alaska,Matanuska-Susitna Borough,2009,82099,42629,39470
Alaska,Nome Census Area,2009,9339,5014,4325
Alaska,North Slope Borough,2009,6716,3585,3131
Alaska,Northwest Arctic Borough,2009,7430,3950,3480
